model,acc,prec_w,rec_w,f1_w
Logistic Regression,0.9728682170542635,0.975398363479759,0.9728682170542635,0.9723489365931227
SVC,0.9922480620155039,0.9932170542635659,0.9922480620155039,0.9922083084873783
Random Forest,0.9961240310077519,0.9966085271317829,0.9961240310077519,0.9961041542436891
Decision Tree,0.9961240310077519,0.9966085271317829,0.9961240310077519,0.9961041542436891
Stacked (RF+SVC→LR),0.9961240310077519,0.9966085271317829,0.9961240310077519,0.9961041542436891
